date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2024-01-14 0:00:00,1949.31,8.94,49.35,0.36,23.84,313.15,328.57,3.89
2024-01-14 1:00:00,1789.09,5.87,43.18,1.17,25.99,296.69,313.95,5.13
2024-01-14 2:00:00,2029.42,11.62,42.5,0.4,32.42,308.95,334.15,7.79
2024-01-14 3:00:00,2136.23,16.76,42.16,1.05,37.67,311.38,341.26,8.74
2024-01-14 4:00:00,1815.8,8.94,38.39,13.77,42.44,283.89,311.15,5.76
2024-01-14 5:00:00,1708.98,9.95,31.87,30.04,43.39,272.5,297.96,7.16
2024-01-14 6:00:00,1642.23,8.94,29.13,53.64,43.87,268.21,291.27,8.74
2024-01-14 7:00:00,1428.6,4.41,21.42,98.71,34.33,235.46,255.9,6.14
2024-01-14 8:00:00,1335.14,2.51,16.96,130.18,30.28,228.21,248.37,5.19
2024-01-14 9:00:00,1295.09,1.93,16.62,144.48,32.42,232.95,253.92,5.57
2024-01-14 10:00:00,1401.9,2.24,23.99,137.33,37.19,233.89,257.07,7.92
2024-01-14 11:00:00,1535.42,2.24,37.7,113.01,40.05,224.51,249.84,11.65
2024-01-14 12:00:00,1588.82,0.76,52.09,82.97,38.62,194.58,220.49,14.82
2024-01-14 13:00:00,1655.58,0.01,58.95,62.23,38.62,171.45,198.75,18.75
2024-01-14 14:00:00,1682.28,0,55.52,59.37,37.67,162.23,192.21,22.55
2024-01-14 15:00:00,1628.88,0,47.3,63.66,35.29,157.02,187.47,24.57
2024-01-14 16:00:00,1562.12,0,41.13,69.38,32.42,153.68,183.13,24.83
2024-01-14 17:00:00,1495.36,0,37.7,72.24,30.52,152.97,181.32,22.55
2024-01-14 18:00:00,1361.85,0,33.24,75.1,26.23,151.19,175.88,16.09
2024-01-14 19:00:00,1188.28,0,27.42,77.96,21.7,154.16,173.78,9.12
2024-01-14 20:00:00,1161.58,0,23.31,75.82,20.27,169.64,186.87,5.64
2024-01-14 21:00:00,1188.28,0,21.25,70.1,19.55,181,196.71,4.05
2024-01-14 22:00:00,1188.28,0,20.22,63.66,19.07,177.13,191.22,3.7
2024-01-14 23:00:00,1148.22,0,20.05,58.65,19.55,165.43,178.29,3.61
2024-01-15 0:00:00,1134.87,0,21.76,55.07,21.7,158.37,171.09,3.7
2024-01-15 1:00:00,1201.63,0.01,27.42,48.64,25.75,158.77,173.53,4.69
2024-01-15 2:00:00,1401.9,0.11,39.41,34.69,31.47,163.78,183.32,6.78
2024-01-15 3:00:00,1548.77,2.74,47.3,24.68,35.29,162.23,184.62,8.99
2024-01-15 4:00:00,1562.12,10.62,40.1,35.05,38.62,153.69,176.94,11.65
2024-01-15 5:00:00,1482.01,12.07,34.96,52.21,43.39,141.52,164.52,14.44
2024-01-15 6:00:00,1308.44,9.39,31.87,78.68,47.68,124.87,145.12,14.31
2024-01-15 7:00:00,761.03,3.38,16.45,123.02,32.42,69,79.58,6.97
2024-01-15 8:00:00,654.22,2.49,13.37,134.47,27.89,60.1,69.08,6.14
2024-01-15 9:00:00,654.22,2.29,14.39,138.76,29.09,60.5,69.51,6.97
2024-01-15 10:00:00,894.55,3.69,25.7,124.45,34.33,71.34,84.41,10.51
2024-01-15 11:00:00,1321.79,5.53,47.98,92.98,39.1,90.5,110.64,15.45
2024-01-15 12:00:00,1762.39,3.3,78.14,52.21,41.01,105.19,131.35,19.76
2024-01-15 13:00:00,2189.64,0.57,100.08,20.56,42.92,126.37,159.96,25.84
2024-01-15 14:00:00,2456.67,1.36,98.71,11.98,41.96,152.18,194.64,31.92
2024-01-15 15:00:00,2456.67,1.15,87.05,12.7,37.19,166.77,213.05,35.46
2024-01-15 16:00:00,2323.15,0.61,76.77,16.45,32.42,167.89,213.4,34.45
2024-01-15 17:00:00,2189.64,0.29,68.55,21.1,30.28,164.71,208.01,32.17
2024-01-15 18:00:00,1895.9,0.1,58.95,28.61,25.27,145.41,181.36,26.09
2024-01-15 19:00:00,1508.71,0.02,47.98,36.12,20.27,118.95,145.75,19
2024-01-15 20:00:00,1401.9,0.03,45.24,34.33,21.46,116.76,142.23,15.96
2024-01-15 21:00:00,1401.9,0.05,44.55,30.04,22.41,122.35,148.63,13.3
2024-01-15 22:00:00,1428.6,0.11,44.55,25.03,22.65,128.52,156.28,10.89
2024-01-15 23:00:00,1455.31,0.28,45.93,19.31,22.89,134.07,162.56,9.37
